workload,source_trace_id,requested_ratio,D_base,D_guarded,effective_ratio,guard_applied,source_start_inclusive,source_end_exclusive,test_relative_start,test_relative_end,window_records,unique_pages,misses,lru_replacement_decisions,write_count,write_ratio,page_entry_count,selection_eligible,eligibility_reason,source_raw_sha256,source_split_sha256
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2480000,2580000,80000,180000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2490000,2590000,90000,190000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2500000,2600000,100000,200000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2510000,2610000,110000,210000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2520000,2620000,120000,220000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2530000,2630000,130000,230000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2540000,2640000,140000,240000,100000,241,241,0,88888,0.88888,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2550000,2650000,150000,250000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2560000,2660000,160000,260000,100000,241,241,0,88889,0.88889,241,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
canneal,canneal-20260731T072730Z,0.40,1778,1778,0.40018005851901867,False,2570000,2670000,170000,270000,100000,240,240,0,88889,0.88889,240,False,unique_pages_not_strictly_greater_than_guard_plus_target,dae1921a662cf887b8e0739f202bbff154b006d971e811f86bc951f8cec8b687,dbf4707925d63710ef36eb37dcc7d10b7aced2ad41890a0de590f863c9ca5d48
