workload,seed,comparison,feature,ks,warning,outside_train_range_ratio
dedup_pressure,3136859,A_vs_C_total_shift,selector_one_minus_g_a,0.0075511937592919465,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,selector_one_minus_g_w,0.003241224756034909,none,0.0
dedup_pressure,3136859,A_vs_C_total_shift,selector_r_lru,0.0,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,B_t,0.0,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,K_t,0.0,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,decision_interval,0.004804556834932021,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,dirty_ratio,0.9922202033356263,large,0.9918729220539343
dedup_pressure,3136859,B_vs_C_policy_shift,dirty_state,0.7802891391572102,binary,
dedup_pressure,3136859,B_vs_C_policy_shift,normalized_residency,0.0005079423716291097,none,0.0005079423716291097
dedup_pressure,3136859,B_vs_C_policy_shift,original_r_lru,0.30517643628996133,large,0.19782046545991874
dedup_pressure,3136859,B_vs_C_policy_shift,recent_frequency,0.0,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,selector_clean,0.32747099200863317,binary,
dedup_pressure,3136859,B_vs_C_policy_shift,selector_g_delta,0.29468370034956404,large,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,selector_one_minus_g_a,0.0019341705712032503,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,selector_one_minus_g_w,0.0009750604888829617,none,0.0
dedup_pressure,3136859,B_vs_C_policy_shift,selector_r_lru,0.0,none,0.0
dedup_pressure,42,A_vs_B_split_drift,B_t,0.0,none,0.0
dedup_pressure,42,A_vs_B_split_drift,K_t,0.0,none,0.0
dedup_pressure,42,A_vs_B_split_drift,decision_interval,0.03242415250499231,none,0.0007538635506973238
dedup_pressure,42,A_vs_B_split_drift,dirty_ratio,0.06744961837667496,none,0.00904295403165034
dedup_pressure,42,A_vs_B_split_drift,dirty_state,0.0022249058598126205,binary,
dedup_pressure,42,A_vs_B_split_drift,normalized_residency,0.0,none,0.0
dedup_pressure,42,A_vs_B_split_drift,original_r_lru,0.012514457783435939,none,0.002072343632253203
dedup_pressure,42,A_vs_B_split_drift,recent_frequency,0.0,none,0.0
dedup_pressure,42,A_vs_B_split_drift,selector_clean,0.003055350481942498,binary,
dedup_pressure,42,A_vs_B_split_drift,selector_g_delta,0.030650962210367894,none,0.0
dedup_pressure,42,A_vs_B_split_drift,selector_one_minus_g_a,0.005620933582280108,none,0.0
dedup_pressure,42,A_vs_B_split_drift,selector_one_minus_g_w,0.002272743211773183,none,0.0
dedup_pressure,42,A_vs_B_split_drift,selector_r_lru,0.0,none,0.0
dedup_pressure,42,A_vs_C_total_shift,B_t,0.0,none,0.0
dedup_pressure,42,A_vs_C_total_shift,K_t,0.0,none,0.0
dedup_pressure,42,A_vs_C_total_shift,decision_interval,0.03356094423478673,none,0.0007496251874062968
dedup_pressure,42,A_vs_C_total_shift,dirty_ratio,0.9604008853876475,large,0.9355563881603597
dedup_pressure,42,A_vs_C_total_shift,dirty_state,0.06782533917508528,binary,
dedup_pressure,42,A_vs_C_total_shift,normalized_residency,0.0,none,0.0
dedup_pressure,42,A_vs_C_total_shift,original_r_lru,0.8520279994856899,large,0.8012364181341326
